City,Category,Name of the Organisation,Description and/or Service Provided,Phone Number,Contact
Jaipur,CoVID-19 Testing Lab,Sawai Man Singh Medical College,Government approved and supported Testing labs by ICMR,0141 2708836,https://education.rajasthan.gov.in/smsmcjaipur
Jaipur,Fundraisers,CM RELIEF FUND RAJASATHAN,Chief minister relief fund.,01412227679,http://cmrelief.rajasthan.gov.in/ContributionCovid-19.aspx
Jaipur,CoVID-19 Testing Lab,Sawai Man Singh Medical College,Government approved and supported Testing labs by ICMR,141 270 8836,https://education.rajasthan.gov.in/smsmcjaipur
Jammu,CoVID-19 Testing Lab,Govt. Medical College,Government approved and supported Testing labs by ICMR,191 258 4234,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Jamnagar,CoVID-19 Testing Lab,MP Shah Govt Medical College,Government approved and supported Testing labs by ICMR,288 255 3515,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Jamshedpur,CoVID-19 Testing Lab,MGM Medical College & Hospital,Government approved and supported Testing labs by ICMR,657 236 0859,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Jamshedpur,CoVID-19 Testing Lab,MGM Medical College & Hospital,Government approved and supported Testing labs by ICMR,657 236 0859,http://www.mgmmedicalcollege.org/
Jehanabad,Government Helpline,District Control Room,"District Control Room Helpline Number

District Control Room:
1. 06114-223013
2. 85444231333

Block Wise Control Room Number
Makhdumpur  : 8544421450
Ratni Faridpur : 8544421446
Kako.               : 8544421445
Okari                 : 9470003334
Jehanabad.     : 8544421451
Ghoshi             :8544421444
Hulasganj        :8544421447",06114-223013,http://jehanabad.nic.in
Jodhpur,CoVID-19 Testing Lab, All India Institute of Medical Sciences,Government approved and supported Testing labs by ICMR,0291 2740741,http://www.aiimsjodhpur.edu.in/
Jodhpur,CoVID-19 Testing Lab,. Dr. Sampurnanand Medical College,Government approved and supported Testing labs by ICMR,0291 2434374,https://education.rajasthan.gov.in/medicaleducation
Jodhpur,CoVID-19 Testing Lab,Dr. Sampurnan and Medical College,Government approved and supported Testing labs by ICMR,291 243 4374,https://education.rajasthan.gov.in/medicaleducation
Jodhpur,CoVID-19 Testing Lab,All India Institute of Medical Sciences,Government approved and supported Testing labs by ICMR,291 274 0741,http://www.aiimsjodhpur.edu.in/
Jorhat,CoVID-19 Testing Lab,Jorhat Medical College,Government approved and supported Testing Lab by ICMR,3762370107,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Kakinada,CoVID-19 Testing Lab,Rangaraya Medical College,Government Approved and Supported Testing Lab by ICMR,8842363401,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Kangra,CoVID-19 Testing Lab,Dr. Rajendra Prasad Govt. Medical College,Government approved and supported Testing labs by ICMR,01892287187,http://rpgmc.ac.in/
Kannur,Hospitals and Centers,Govt. Medical Collge,Govt. of Kerala run Medical Collge now specialized for Covid related issues,0497-2856400,https://kannurmedicalcollege.ac.in/
Kannur,Government Helpline,Kannur District Helpline for Delivery of Essential items,WhatsApp number of District Helpline for providing essential items,9400066016,http://www.kannur.nic.in
Kannur,Government Helpline,Kannur District helpline for Medicine delivery,Whatsapp number maintained by Kannur district administration for delivery of essential medicines,9400066016,http://www.kannur.nic.in
Kannur,Government Helpline,Kannur Collector Helpline,24*7 Corona helpline of Kannur District Collector,9400066061,http://www.kannur.nic.in
Kasaragod,"Delivery [Vegetables, Fruits, Groceries, Medicines, etc.]",Kasargod Police Home Delivery,WhatsApp number of Kasargod police to home deliver groceries,9497935780,http://www.kasargod.nic.in
Kasaragod,Senior Citizen Support,Kasargod District Administration,Senior Citizen helpline number of Kasargod district. District admin will home deliver medicines and other essentials for Senior Citizens,9387088887,http://www.kasargod.nic.in
Kasaragod,Free Food,Kasargod Community Kitchen by Government,Community Kitchen initiative by Government,04994255004,http://www.kasargod.nic.in
Kasaragod,Government Helpline,Police Helpline Kasargod,Emrgency police helpline,112,https://kasargod.nic.in
Kasaragod,Hospitals and Centers,Kasargod District Hospital Control Cell,Control cell of Kasargod District Hospital,9946000493,http://www.kasargod.nic.in
Kasaragod,Government Helpline,Corona Control Room - Kasargod,Kasargod District collectors Corona Control room,04994 257700,http://www.kasargod.nic.in
Kochi,Hospitals and Centers,Govt. Medical College,Now given care for Covid 19 patients,0484-2411468,https://cmccochin.org/
Kochi,Government Helpline,`District Corona Control Room,Phone number of District Corona Control Room,04842368802,http://www.ernakulam.nic.in
Kochi,Hospitals and Centers,Rajagiri Telemedicine Service,WhatsApp based Online consultation of Doctors in Kerala for non Covid cases,7356600884,http://www.rajagirihospital.com
Kochi,Ambulance,Ernakulam District Ambulance request,Helpdesk to raise tickets related to Covid19 including Ambulances,04842368802,https://coronahelpdeskekm.deienami.com/
Kolkata,CoVID-19 Testing Lab,Institute of Post Graduate Medical Education & Research,Government approved and supported Testing labs by ICMR,22041101,http://www.ipgmer.gov.in/
Kolkata,CoVID-19 Testing Lab,National Institute of Cholera & Enteric Diseases,Government approved and supported Testing labs by ICMR,033-23633373,http://www.niced.org.in/
Kolkata,"Delivery [Vegetables, Fruits, Groceries, Medicines, etc.]",TOUCH Ek Sparsh,Social Services to the Needy of our Society ,9830233315,https://facebook.com/events/s/touch-ek-sparsh-13th-annual-so/162161561177241/?ti=cl
Kolkata,Free Food,Sreema Mahila Samity,"Essentials, Food, Medicines, Protective Gear for Migrants, Disabled, Daily Wages/Homeless, Women- single mothers, domestic abuse, Children, Elderly",03473264271,http://sreema.org
Kollam,Government Helpline,Kollam District Corona Helpline,Corona Helpline Kollam district,04742797609,http://www.kollam.nic.in
Kota,CoVID-19 Testing Lab,Govt. Medical College,Government approved and supported Testing labs by ICMR,744 247 0674,https://education.rajasthan.gov.in/content/raj/education/government-medical-college--kota/en/home.html
Kottayam,Hospitals and Centers,Govt. Medical College,"Government of Kerala run Medical Collge, now specialized as Covid Care Centre",0481-2592001,https://www.kottayammedicalcollege.org/
Kottayam,Hospitals and Centers,Govt. Medical College,"Government of Kerala run Medical Collge, now specialized as Covid Care Centre",0481-2592001,https://www.kottayammedicalcollege.org/
Kottayam,Government Helpline,District Corona Helpline,Phone number of district corona helpline,04812304800,https://www.kottayam.nic.in
Kottayam,CoVID-19 Testing Lab,Inter university,Government approved and supported Testing labs by ICMR,481-2353730,http://www.iucbr.ac.in/
Kozhikode,Government Helpline,District Corona Control Room,Phone number of district corona control room,04952371471,http://www.kozhikode.nic.in
Kozhikode,CoVID-19 Testing Lab,"Govt. Medical College, Kozhikode",Government approved and supported Testing labs by ICMR,0495 2350216,https://www.govtmedicalcollegekozhikode.ac.in/
Kozhikode,CoVID-19 Testing Lab,Govt. Medical College,Government approved and supported Testing labs by ICMR,495 235 0216,https://www.govtmedicalcollegekozhikode.ac.in/
Lucknow,Free Food,Insaniyat Welfare Society,Feeding 700 needy per day in Lucknow,096216 70470,https://www.facebook.com/insaniyatwelfaresociety/
Lucknow,CoVID-19 Testing Lab,Command Hospital,Government approved and supported Testing labs by ICMR,0522-2480532,https://www.nhp.gov.in/hospital/command-hospital-(cc)-lucknow-lucknow-uttar_pradesh
Lucknow,CoVID-19 Testing Lab,King George Medical University,Government approved and supported Testing labs by ICMR,05222258880,http://www.kgmu.org/
Lucknow,CoVID-19 Testing Lab, King George Medical University,Government approved and supported Testing labs by ICMR,522 225 8880,http://www.kgmu.org/
Madurai,Free Food,Manitham Charitable Trust,"""Manitham will be raising funds for 150 families who are street circus performers, and do not have a daily income. They have been hit especially hard during the ongoing Covid-19 crisis, and any support you’d be willing to provide goes a long way.  It costs INR 2000 per family for grocery and sanitary supplies for the next 2 weeks for instant relief, as government subsidies are just not adequate.""",9443095245,http://manitham.org.in/?page_id=45
Madurai,CoVID-19 Testing Lab,Madurai Medical College,Government approved and supported Testing labs by ICMR,452 253 2535,http://www.mdmc.ac.in/mdmc/content_page.jsp?sqf=12&sq1=contactus
Mangalore,Government Helpline,Dakshina Kannada Corona Control Room,Phone number of Dakshina Kannada district Control room,1077,http://dk.nic.in
Mangalore,Ambulance,Mangalore MP War Room Ambulance,Ambulance service provided by Mangalore MP war room,9449847134,http://www.dk.nic.in
Morbi,"Delivery [Vegetables, Fruits, Groceries, Medicines, etc.]",ROBINDHOOD ARMY MORBI,We provide food and ration to poor and needy,8200336724,https://robinhoodarmy.com/
Morbi,"Delivery [Vegetables, Fruits, Groceries, Medicines, etc.]",ROBINDHOOD ARMY MORBI,We provide food and ration to poor and needy,8200336724,https://robinhoodarmy.com/
Multiple,CoVID-19 Testing Lab,N/A,Test Center for covid 19,https://covid.icmr.org.in/index.php/testing-facilities,https://www.google.com/maps/d/u/0/viewer?mid=1d6xR7a24LtvMkoDMlPDcYHAhY4g9fjVg&ll=21.452471987131748%2C85.6632959927258&z=5
Mumbai,Free Food,"Khushiyaan Foundation

Rotighar Kitchen","Provides free meals to security guards/labourers/daily wage workers

Meals will be delivered by the Rotighar team","Whatsapp works best
 
9699396544
7506384025
9619089050
9594609229
9987730605
7208773650",Instagram: @rotigharindia
Mumbai,Free Food,Zomato Feeding India,Provides food support responsibly to daily wage earners and individuals who's livelihood has been impacted across India.,,Instagram: @feedingindia
Mumbai,Free Food,"Ideal Relief Wing (IRW)

Jamaat-E-Islami Hind","Free Food Packets everyday for the poor and daily wage workers in Jogeshwari, Andheri and Goregaon",9892020228,
Mumbai,"Delivery [Vegetables, Fruits, Groceries, Medicines, etc.]
",Agrify Organic Solutions,,"To place your orders whatsapp:
 
For Mumbai Western Region: 
Darpan Bendre: 7506339233
 
For Mumbai Central and Thane
Urvish Bhaide: 9769493507
Himanshu Dighavkar: 9967399704","Instagram: @agrify_organic_solutions_

www.agrifyorganicsolutions.com"
Mumbai,"Delivery [Vegetables, Fruits, Groceries, Medicines, etc.]
",Project Mumbai,Grocery and Medical deliveries for people who are home quarantined,"Groceries: 9653330712
Medicines: 9992999929","Instagram: @project_mumbai

Facebook: https://bit.ly/33TFKXg"
Mumbai,"Delivery [Vegetables, Fruits, Groceries, Medicines, etc.]
",Caremongers,Provides assistance to self distancing persons in need,9591168886,
Mumbai,Mental well being and Emotional support,Project Mumbai,Free online counselling from 8 am to 8 pm across multiple languages including Marathi Hindi English Gujarati Malayalam Punjabi and Kannada - Project Mumbai,"Morning Slot: 8am-2pm
Nirali S – English / Gujarati / Marathi / Hindi – 9833210405
Shilpa S – English / Hindi / Gujrati / Marathi – 9833886723
Bhawana R – English / Marathi / Hindi – 9820594667
Tejal V – English / Hindi / Gujarati – 9820973739
Megha C – English / Marathi / Hindi – 9867349275
Dr. Kavitha M – Hindi / Marathi / English / Tamil / Gujarati – 9870594444
Bindu – English / Hindi / Tamil – 9769232427
Vishakha P – English / Hindi / Gujarati / Marathi / Kutchi – 9819601149
Geeta P – English / Hindi / Gujarati / Malayalam – 9619138746

Afternoon Slot 2pm-8pm
Asmita S – English Hindi Marathi – 8082797515
Dr. Namita S – English / Hindi / Marathi / Gujarati – 9819092221
Deepali T – English / Hindi / Gujarati / Marathi / Kutchi – 8108675484
Analisa A – English – 9819864016
Jayanthi I – English / Hindi / Marathi / Tamil – 9930284257
Dhara S – English Hindi Gujarati Marathi Tulu – 9819408164
Nikita G – English / Hindi / Marathi – 9920672630
Arshia V – Hindi / English – 9820735690
Ushma B – English / Hindi / Gujarati – 9820111861
Dr Deepa – English / Marathi / Hindi / Konkani – 9820959276
Leena B – English / Hindi – 9870094948
Ujala – English / Hindi – 9619196160
Dr. Hiral T – Hindi / English / Gujarati – 9653217155
Pari – English / Hindi / Gujarati – 9820674236
Kajal D – English / Hindi / Gujarati – 8849558745
Vishakha – English / Hindi / Gujarati / Marathi / Kutchi – 9819601149
Sindhu – English / Hindi / Malyalam – 9892680940
Dr. Nidhi K – English / Gujarati – 9029363238
Amandeep K – English / Hindi – 98205 72608
Kanchan S – Hindi / English / Marathi – 9769211137
Mamta P. Bhosale – English / Hindi and Marathi – 9819022698
Indrani C – English / Hindi – 9820116182
Geeta P – English / Hindi / Gujarati / Malayalam – 9619138746
Shabnam R – English / Hindi / Marathi and Gujarati – 9820013549
Ujala K – Hindi / English – 9619196160","Instagram: @project_mumbai

www.projectmumbai.org"
Mumbai,Mental well being and Emotional support,Samaritans Mumbai,"Helpline providing emotional support for those who are disturbed, depressed or suicidal - 5 PM- 8 PM- All days of the week","8422984528
8422984529
8422984530","Instagram: @samaritans.mumbai

www.samaritansmumbai.com"
Mumbai,Mental well being and Emotional support,One Future Collective,Resources listed here are essentially to supplement therapeutic and/or psychiatric interventions as well as to help those who don’t have additional support systems. They have been compiled by psychologists and therapists.,,https://docs.google.com/document/d/12unLJKU06HAoINs4L1NagBHCmk29DbmwSfneoolFHIY/mobilebasic
Mumbai,Accommodation,Shubham Dharmsktu,"If any international tourist is stuck in any part of India, please contact Shubham.",9409171544,Instagram: @shubyatra
Mumbai,Fundraisers,Give India,"Provide a safety-net for the thousands of poor labourers who have lost their jobs due to Coronavirus 
 ₹ 7,000 helps 1 family in a Tier-1 city 
 ₹ 5,000 helps 1 family in a Tier-2 city",,Instagram: @give_india
Mumbai,Fundraisers,Youth for Unity and Voluntary Action,"Offer emergency relief food supplies to the urban poor
 
Areas Covered: Vasai Virar, Mumbai, Navi Mumbai and Panvel",,Instagram: @officialyuva
Mumbai,Fundraisers,Pharmeasy,"Gift doctors, nurses and health workers N95 masks (200 INR per mask) and Pharmeasy will match your donation",,
Mumbai,Fundraisers,Global Shapers Community,"Prevention kit distribution to labour work force (cab drivers, slum dwellers, and people from low-income communities) in the Navi Mumbai. 
 
It will will contain the following: 
- Pack of 3 - 5 face masks
- Hand sanitizer with 62% alcohol content
- Ayurvedic Vitamin C Immunity booster tablets
- Guidance note on COVID-19 facts and essential precautionary measures","Samar Sikka: 9811174540
Saloni Bhalla: 9870772559‬
Susheeth Kumar: 9167944948‬",
Mumbai,Fundraisers,Apnalaya India,Providing basic necessities to the people of Shivaji Nagar who don’t have the means to acquire them due to the #COVID19 lockdown.,9833041074,Facebook: @supportapnalaya
Mumbai,Fundraisers,India Care Collective,"You may recommend a person who is in dire need of money due to wage loss from the Corona outbreak. 
 
 Please do verify at your end before you make an entry here. 
 
 An amount of Rs. 2500 per family per month is being considered for support towards food etc.",,https://docs.google.com/document/d/15Dtl8b_-Hz_lPrhW9JSkmTZG91u9VJr8FnAuSqwteKw/edit
Mumbai,Fundraisers,,,,https://pages.razorpay.com/Covid19Relief
Mumbai,Mental well being and Emotional support,,,,https://drive.google.com/open?id=1Iw-C8Y8RBuf1upP8YTRysoo3Py99bB5b
Mumbai,"Delivery [Vegetables, Fruits, Groceries, Medicines, etc.]", Jamaat e islami hind Mumbai Metro ,"Ration and food  packets

Contact Person - Humayun Shaikh",9820890506,http://jihmaharashtra.org/eng/category/relief-work/
Mumbai,"Delivery [Vegetables, Fruits, Groceries, Medicines, etc.]", Nazareth Foundation,"""We are appealing for funds so we can procure dry goods for these families to tide them over the #COVID19 lockdown.  Sanjay Gandhi National Park Mumbai, (SGNP) has 11 Adivasi hamlets deep inside the Forest where the public is not allowed.  The Adivasis there do not have electricity. They have to walk for minimum 2.5 km to get to the Western Express Highway gate of Sanjay Gandhi National Park.""",9820224450,http://thenazarethfoundation.org/covid-lockdown/
Mumbai,Mental well being and Emotional support,Special needs therapist by prafulta and project mumbai.,"The actions reactions and perceived implications linked to the virus scare have led to many around us facing issues of anxiety, fear, concerns and behavioral change resulting in sleeplessness, feeling lonely, low and at times depressed. Equally or maybe worse affected could be parents and family with members of SPECIAL NEEDS.  Project Mumbai and Prafulta Counseling Center are here to offer SPECIAL NEED THERAPISTS.  A support system for this special community in an hour of need. Counselor details are listed in Morning & Afternoon Slots.",022-26704021,https://projectmumbai.org/
Mumbai,CoVID-19 Testing Lab,National Institute of Virology Field Unit,Government approved and supported Testing labs by ICMR,094210 18275,http://www.niv.co.in/
Mumbai,CoVID-19 Testing Lab,Kasturba Hospital for Infectious Diseases,Government approved and supported Testing labs by ICMR,Not availed,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Mumbai,CoVID-19 Testing Lab,Seth GS Medical College & KEM Hospital,Government approved and supported Testing labs by ICMR,022 24107000,https://www.kem.edu/
Mumbai,Free Food,Making the Difference,Provide food to needy,9769559889,http://makingthedifference.in/contact_us/overview.aspx
Mumbai,Free Food, Jagannath’s Kitchen,"""In time of these natural hardships he & his team have come up with voluntary & free food service to all the needy ones in area around Fort,Churchgate.  You just need to call & inform him everyday before 11AM the no. of individuals you are expecting meals for.Just ensure only one person contacts him from you’re group as they are already running busy serving the needy ones in this crisis.  THEY WILL ALSO SERVE YOU FOOD AT YOUR DOOR STEP INCASE THERE ARE STRINGENT CURFEW RESTRICTIONS around you.Just inform them accordingly.""",99679 54444,https://www.jagannathskitchen.in
Mumbai,Fundraisers,Ghar Bachao Ghar Banao Andolan,Ration providers,9958660556,https://www.ketto.org/fundraiser/to-provide-ration-to-poor-familiesdaily-wage-earners-affected-by-lockdown?payment=form
Mumbai,Fundraisers,Daily wagers and Families Delhi,"The Good Share was born out of many years of watching how Corporates struggled with achieving their CSR goals and how deserving NGOs struggled with finding Corporate donors for projects that would make an impact on society, across geographies, across poorer districts, across thematic areas that were less in favour. We decided to create a platform that would work like a bridge where both ends could meet.",9821231555,https://thegoodshare.info/
Mumbai,Fundraisers,COVID-19 Relief Fund For Sex Workers In Mumbai,Help impoverished in times of Covid,9833100340,https://cjp.org.in/
Mumbai,Free Food,Haqdarshak (Govt. scheme),"Providing relief packages. 1. 3 cylinders free for 3 months. 2. Rs.2000/ farmer enrolled in PM kissan Samman Yojana. 3. Rs.1500/ women having Jan Dhan Bank Accounts. 4. Rs. 20 lakh collateral-free loan for each Self Help Groups (SHGs) of the National Rural Livelihood Mission (NRLM). 5. Govt. will contribute 12% from the employer’s side and 12% from the employees’ side for firms with less than 100 employess, 90% of whom draw < Rs.15000 per month. 6. Rs.1000 one time payment in 2 installments for the next 3 months for senior citizens, widows, and disabled citizens. 7. Rs. 3000 to each construction worker in Punjab, Rs.1000 in UP and Rs.5000 in Delhi. The workers should be registered and have an active bank account. 8. Rs.202 per day to labourers under MGNREGA scheme, plus if they have MGNREGA job card they can take up agricultural activities which ensure social distancing.",8860723233,https://haqdarshak.com/book-haqdarshak-WOS
Mumbai,Free Food,Mumbai Roti Bank ,Providing food to people.,8655580001,https://rotibankfoundation.org/
Mumbai,Free Food,Center for Promoting Democracy - CPD,Food and Hygiene products for homeless people,9833252472,https://www.facebook.com/pages/category/Cause/Center-for-Promoting-Democracy-CPD-1456780221000539/
Mumbai,Free Food,Center for Promoting Democracy - CPD,Food and Hygiene products for homeless people,9833252472,https://www.facebook.com/pages/category/Cause/Center-for-Promoting-Democracy-CPD-1456780221000539/
Mumbai,Mental well being and Emotional support,Dial Me Help,"We Are Spreading Awareness and Trying to Provoke People to Contribute for Current Situation in Various Ways. Also, We Are Assisting People If They Need Any Help by Providing Them Local Contacts of People Working in That Particular Region If It Is Available.","9011515266
9082949967
8369276099",https://www.instagram.com/DialMeHelp/
Mumbai,Free Food,Making The Difference,"""Making The Difference, a Mumbai based NGO, is collecting funds to disburse basic ration and support food requirements of the under privileged. Cities/States Covered: Mumbai Payment Modes Available: Cards, Net Banking, UPI""",9769559889,https://pages.razorpay.com/pl_EUwNKcGMyXoosk/view
Mumbai,Fundraisers,Let's All Help,"LetsAllHelp.org is a transparent online platform to take care of basic food & hygiene needs of needy orphanages, old homes, shelters and unaided schools in India.",8828811116,https://letsallhelp.org/faqs
Mumbai,Fundraisers,PRATYEK.org.in,"We at PRATYeK have already reached out to 350 families till now in New Delhi, Jammu and Kashmir, UP, West Bengal, and Assam.  We have mandated that each group must reach out to at least 3 families with a child with disabilities.",9911602999,https://www.ketto.org/fundraiser/relief-funds-for-daily-wage-earners-suffering-from-the-pandemic-covid-19?payment=form
Mumbai,Free Food,Rotary Club of Bombay Uptown- Ayushi Shah,They give free grocery kits to pre identified families by collaborating with various NGOs.,9820076485,https://www.ketto.org/contribute/contribute.php?utm_source=internal&utm_medium=whatsappShare&utm_campaign=providing-individuals-with-grocery-kits-to-help-them-during-the-lockdown&utm_content=1406646&shby=1&fmd_id=174627
Mumbai,CoVID-19 Testing Lab,Seth GS Medical College & KEM Hospital,Government approved and supported Testing labs by ICMR,22 2410 7000,https://www.kem.edu/
Mumbai,CoVID-19 Testing Lab,Kasturba Hospital for Infectious Diseases,Government approved and supported Testing labs by ICMR,23027700,https://portal.mcgm.gov.in/irj/portal/anonymous/qlkasturbhahosp?guest_user=english
Mumbai,CoVID-19 Testing Lab,National Institute of Virology Field Unit,Government approved and supported Testing labs by ICMR,94210 18275,http://www.niv.co.in/
Mumbai,CoVID-19 Testing Lab,Grant Medical College & Sir JJ Hospital,Government approved and supported Testing labs by ICMR,22 2373 5555,http://ggmcjjh.com/
Mumbai,CoVID-19 Testing Lab,Haffkine Institute,Government approved and supported Testing labs by ICMR,24160947,http://www.haffkineinstitute.org/contact.htm
Mumbai,Mental well being and Emotional support,Sharanam,Mental Health Support / Counseling,9137798492,https://www.facebook.com/Sharnamtherapyandhealing/
Mysore,Government Helpline,District Corona Help Line,District Corona Help Line,08212423800,http://mysuru.nic.in
Mysore,CoVID-19 Testing Lab,Mysore Medical College & Research Institute,Government approved and supported Testing labs by ICMR,0821 2520512,https://www.mysoremedicalcollege.com/
Mysore,CoVID-19 Testing Lab,Mysore Medical College & Research Institute,Government approved and supported Testing labs by ICMR,821 252 0512,https://www.mysoremedicalcollege.com/
Nagercoil,Hospitals and Centers,Kanyakumari government medical college ,Covid isolation ward and treatment facilities ,04652-223201,http://www.kkmc.ac.in/kkmc/
Nagpur,"Delivery [Vegetables, Fruits, Groceries, Medicines, etc.]",Seva Kitchen,"The Seva Kitchen is getting help from NGOs and individual donors to ensure construction workers, scrap collectors and other daily wage workers are well fed during the COVID-19 lockdown.",9561011264,http://www.sevakitchen.org/
Nagpur,CoVID-19 Testing Lab,Indira Gandhi Govt. Medical College,Government approved and supported Testing labs by ICMR,0712-2725274,https://www.iggmc.org/
Nagpur,Accommodation,Midland United FC,We are a football club in NAGPUR. We have 2 of sports complex in nagpur which can be used for accommodations.,8000992277,https://instagram.com/midlandunitedfc?igshid=1bfpu5sjf1kuf
Nagpur,CoVID-19 Testing Lab,Indira Gandhi Government Medical College & Hospital,Government approved and supported Testing labs by ICMR,712 272 5423,https://www.iggmc.org/Nursing.htm
New Delhi,"Delivery [Vegetables, Fruits, Groceries, Medicines, etc.]",PAIGAM,Provide a safety kit to each waste picker in New Seemapuri that will consist of a mask and a hand sanitizer. ,8197095784,https://pages.razorpay.com/pl_EW6B2AlIPZz41X/view
Noida,Fundraisers,Voice of Slum," Voice of Slums has been striving to change the lives of these slum children. They have been working hard to reach out to children from vulnerable communities. Voice of Slums has provided many children with education and vocational. They are now relentlessly working towards saving these children from Corona. They are working to provide these children with a corona prevention kit. The kit will help these children to maintain their hygiene and avoid getting infected with Corona virus. Their surroundings increase their chances of getting infected as they live in deplorable conditions. By maintaining their hygiene, they can survive. ",88866 10641,https://donatekart.com/VOS/Help-children#about-campaign
Panaji,Government Helpline,Food Helpline for North Goa,Food Helpline for North Goa,9423890077,https://goa.gov.in/covid-19/
Panaji,Government Helpline,Food Helpline for South Goa,Food Helpline for South Goa,9423890066,https://goa.gov.in/covid-19/
Panaji,Government Helpline,Covid19 State Helpline for Goa,Covid19 State Helpline for Goa,104,https://goa.gov.in/covid-19/
Panaji,Government Helpline,Medical Helpline for Goa,Medical Helpline for Goa,9607909559,https://goa.gov.in/covid-19/
Panaji,Government Helpline,Essential Medicine Helpline for Goa,Essential Medicine supply helpline by Government of Goa,7823036971,https://goa.gov.in/covid-19/
Pathanamthitta,Government Helpline,District Corona Control Room,Phone number of Pathanamthitta district control room,04682228220,http://www.pathanamthitta.nic.in
Patiala,CoVID-19 Testing Lab,Govt. Medical College,Government approved and supported Testing labs by ICMR,0175 2212018,https://gmcpatiala.com/
Patiala,CoVID-19 Testing Lab,Govt. Medical College,Government approved and supported Testing labs by ICMR,175 221 2018,https://gmcpatiala.com/
Patna,CoVID-19 Testing Lab,Rajendra Memorial Research Institute of Medical Sciences,Government approved and supported testing lab by ICMR,6122636651,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Patna,CoVID-19 Testing Lab,Indira Gandhi Institute Medical Sciences,Government approved and supported Testing Labs by ICMR,6122297099,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Patna,CoVID-19 Testing Lab,Patna Medical College,Government approved and supported Testing Lab by ICMR,6122636651,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Pondicherry,CoVID-19 Testing Lab,"Jawaharlal Institute of Postgraduate Medical Education & Research, Puducherry",Government approved and supported Testing labs by ICMR,0413-2296000,https://www.jipmer.edu.in/
Pondicherry,CoVID-19 Testing Lab,Jawaharlal Institute of Postgraduate Medical Education & Research,Government approved and supported Testing labs by ICMR,0413-2296000,https://www.jipmer.edu.in/
Pune,"Delivery [Vegetables, Fruits, Groceries, Medicines, etc.]",KashtaKari Panchayat,Providing safety gear to waste pickers and also ration kits,9158007062,https://kashtakaripanchayat.org
Pune,"Delivery [Vegetables, Fruits, Groceries, Medicines, etc.]",Action For Pune Development,"Senior citizens about 70, who need groceries and medicines, are being helped by volunteers of Action For Pune Development. ",9657610008,https://www.instagram.com/apdindia/
Pune,Free Food,Mukul Madhav Foundation,"Amidst Coronavirus lockdowns, there are thousands of people in Pune who are struggling for one meal a day because their families depend on daily wage earners who have now lost their jobs  Mukul Madhav Foundation has identified such families - who have no way to earn their living for the next fortnight. They are providing food kits to feed a family for 14 days.",20 25528417,https://www.facebook.com/MMFpage/
Pune,CoVID-19 Testing Lab,BJ Medical College,Government approved and supported Testing labs by ICMR,020 26128000,http://www.bjmcpune.org/
Pune,CoVID-19 Testing Lab,Armed Forces Medical College,Government approved and supported Testing labs by ICMR,020 23373158,https://www.afmc.nic.in/
Pune,Free Food,iTeach Schools,"75% of the students belong to families of contractual workers- daily wage labourers, rickshaw pullers, plumbers, domestic help. With the only earning members in these families left unemployed, the current lockdown situation has worst hit this already most vulnerable section of people in our city. On priority, they are actively working to ensure basic food security for our students and their families.",09067982924,https://www.facebook.com/iteachschools/
Pune,CoVID-19 Testing Lab,National Institute of Virology,Government approved and supported Testing labs by ICMR,20 2612 7301,http://www.niv.co.in/
Pune,CoVID-19 Testing Lab,Armed Forces Medical College,Government approved and supported Testing labs by ICMR,20 2337 3158,https://www.afmc.nic.in/
Pune,CoVID-19 Testing Lab,B. J. Medical College,Government approved and supported Testing labs by ICMR,20 2612 8000,http://www.bjmcpune.org/
Raipur,CoVID-19 Testing Lab,All India Institute of Medical Sciences,Government approved and supported Testing labs by ICMR,7712572240,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Raipur,Mental well being and Emotional support,Pragya Hospital,"Counseling and Psychiatric Care, Substance Abuse and withdrawl related issues,  Child guidance, Marital and interpersonal issues",9826121821,http://www.pragyahospital.in
Rajkot,CoVID-19 Testing Lab,"Govt Medical College, Rajkot",Government approved and supported Testing labs by ICMR,2453414,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
